Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
A.P. Møller - Mærsk A A/S,23.58,0.96,-360.29,9 151.86,150.00,1.69,0.97,-0.04
A.P. Møller - Mærsk B A/S,25.12,1.02,-360.29,9 151.86,150.00,1.59,1.03,-0.04
ALK-Abelló B A/S,-87.80,4.10,-14.18,295.30,0.00,0.00,3.63,-0.05
Alm. Brand A/S,15.73,0.00,4.16,9.54,3.00,4.59,6.84,0.44
Ambu A/S,193.94,21.86,1.24,5.25,0.37,0.18,40.27,0.24
Carlsberg A A/S,88.48,1.80,8.25,307.62,16.00,2.19,2.37,0.03
Carlsberg B A/S,88.48,1.80,8.25,307.62,16.00,2.19,2.37,0.03
Chr. Hansen Holding A/S,50.74,10.70,12.63,43.34,6.33,0.99,14.79,0.29
Coloplast B A/S,35.81,8.71,17.58,27.56,15.00,2.39,22.73,0.64
Danske Bank A/S,10.37,0.00,21.47,179.60,10.00,4.69,1.19,0.12
DFDS A/S,14.59,1.65,28.39,115.17,4.00,0.96,3.61,0.25
DSV A/S,33.06,1.36,15.69,78.08,2.00,0.37,6.87,0.20
FLSmidth & Co. A/S,423.60,1.21,1.48,156.10,8.00,1.89,2.71,0.01
G4S plc,0.00,0.00,0.00,0.00,0.80,3.49,0.00,0.00
Genmab A/S,45.30,24.60,18.04,102.51,0.00,0.00,9.28,0.18
GN Store Nord A/S,36.77,4.32,8.12,32.83,1.25,0.44,8.65,0.25
H. Lundbeck A/S,28.92,5.43,13.18,53.44,8.00,1.70,8.80,0.25
ISS A/S,-160.43,518.60,0.01,0.07,7.70,3.45,3 185.71,0.14
Jeudan A/S,14.90,8.20,66.86,563.16,12.00,1.22,1.75,0.12
Jyske Bank A/S,11.38,0.00,34.22,388.12,5.85,1.71,0.88,0.09
Københavns Lufthavne A/S,34.44,10.08,163.80,401.68,100.10,1.76,14.19,0.41
Netcompany Group A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nilfisk Holding A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NKT A/S,0.76,0.47,254.88,224.01,0.00,0.00,0.84,1.14
Nordea Bank AB,10.98,3.50,5.57,59.55,5.06,8.32,1.02,0.09
Novo Nordisk B A/S,18.56,6.43,15.25,19.93,7.85,2.73,14.43,0.77
Novozymes B A/S,31.46,6.83,10.23,36.90,4.50,1.38,8.82,0.28
Pandora A/S,9.81,2.40,51.27,57.90,0.00,0.00,8.38,0.89
Ringkjøbing Landbobank A/S,12.21,0.00,26.34,170.74,9.00,2.51,2.10,0.15
Rockwool International A A/S,36.60,2.77,56.28,518.19,24.10,1.17,3.98,0.11
Rockwool International B A/S,41.33,3.12,56.28,518.19,24.10,1.04,4.49,0.11
Royal UNIBREW A/S,28.91,7.87,15.76,53.40,8.90,1.88,8.86,0.30
Scandinavian Tobacco Group A/S,13.41,1.50,7.11,84.48,5.75,5.92,1.15,0.08
Schouw & Co. A/S,16.55,0.85,34.29,326.17,13.00,2.30,1.73,0.11
SimCorp A/S,38.61,8.48,12.17,21.33,6.50,1.22,24.96,0.57
Spar Nord Bank A/S,8.57,0.00,8.04,72.97,3.50,5.11,0.94,0.11
Sydbank A/S,10.19,0.00,21.76,169.50,11.31,5.15,1.29,0.13
Topdanmark A/S,19.37,0.00,19.26,1.00,19.00,6.69,284.00,19.26
Tryg A/S,19.24,0.00,8.33,5.00,1.60,1.07,29.78,1.67
Vestas Wind Systems A/S,14.46,1.22,30.88,107.50,9.23,2.21,3.89,0.29
William Demant Holding A/S,36.35,4.96,6.95,28.57,0.00,0.00,8.84,0.24
Össur hf.,35.00,3.46,0.82,7.12,0.13,0.46,3.93,0.12
Ørsted A/S,7.91,2.64,46.37,130.34,9.00,2.41,2.87,0.36
