Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Bang & Olufsen Holding A/S,78.31,1.95,1.89,25.68,0.00,0.00,5.76,0.07
BankNordik P/F,4.29,0.00,18.91,182.01,4.00,3.56,0.62,0.10
Bavarian Nordic A/S,1 132.81,4.27,5.62,77.73,0.00,0.00,2.33,0.07
Brdr.Hartmann A/S,19.26,1.19,17.39,106.33,9.50,2.53,3.53,0.16
Columbus A/S,24.29,1.48,0.62,4.58,0.13,0.86,3.29,0.14
D/S Norden,19.32,0.44,3.63,123.07,0.00,0.00,0.94,0.03
Højgaard Holding A A/S,-11.52,7.67,-9.46,101.69,0.00,0.00,1.07,-0.09
Højgaard Holding B A/S,-10.57,7.03,-9.46,101.69,0.00,0.00,0.98,-0.09
IC Group A/S,24.96,1.01,5.38,41.72,5.00,3.09,3.88,0.13
Jutlander Bank A/S,6.57,0.00,29.94,334.07,5.00,2.43,0.62,0.09
Matas A/S,7.21,0.59,7.32,68.45,6.30,11.93,0.77,0.11
NNIT A/S,20.27,1.45,8.66,40.20,4.30,2.57,4.16,0.22
Orphazyme A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Per Aarsleff Holding A/S B,20.22,0.44,12.54,125.41,4.00,1.74,1.83,0.10
SAS AB,4.23,0.12,2.66,18.63,0.00,0.00,0.64,0.14
Solar B A/S,-30.88,0.29,2.45,205.41,10.00,2.43,2.00,0.01
SP Group A/S,21.28,1.54,11.62,47.11,2.00,0.80,5.28,0.25
Sparekassen Sjælland-Fyn A/S,5.12,0.00,19.61,214.32,0.00,0.00,0.47,0.09
Tivoli A/S,45.52,4.12,13.73,148.11,3.43,0.50,4.59,0.09
TORM plc A,0.20,0.00,239.77,0.00,0.00,0.00,0.00,0.00
United International Enterprises Ltd,5.64,0.00,203.23,1 005.32,33.86,2.31,1.46,0.20
Veloxis Pharmaceuticals A/S,-36.00,9.82,-0.03,0.02,0.00,0.00,54.00,-1.50
Vestjysk Bank A/S,8.65,0.00,0.12,2.17,0.00,0.00,1.04,0.06
Zealand Pharma A/S,-8.48,20.44,-8.85,17.19,0.00,0.00,5.41,-0.51
