Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Ahlstrom-Munksjö Oyj,15.17,0.66,0.69,10.76,0.52,3.85,1.25,0.06
Amer Sports Corporation,33.56,1.48,0.79,7.49,0.70,2.09,4.48,0.11
Cargotec Oyj,23.28,0.73,2.10,22.02,1.05,2.85,1.67,0.10
Citycon Oyj,43.47,6.00,0.10,2.48,0.13,7.48,0.70,0.04
DNA Oyj,23.08,2.69,0.70,4.57,1.10,6.11,3.94,0.15
Elisa Corporation,24.08,3.79,1.54,5.80,1.65,4.45,6.39,0.27
"Ericsson, Telefonab. L M ser. B",-13.80,1.22,-1.09,3.02,0.10,1.32,2.51,-0.36
Finnair Oyj,7.30,0.36,1.32,7.93,0.30,4.15,0.91,0.17
Fiskars Corporation,148.55,1.13,2.03,15.50,0.72,4.41,1.05,0.13
Fortum Corporation,19.02,3.78,0.97,14.69,1.10,5.72,1.31,0.07
Huhtamäki Oyj,14.68,0.92,1.79,10.75,0.80,3.15,2.36,0.17
Kemira Oyj,18.79,0.67,0.51,7.46,0.53,4.95,1.44,0.07
Kesko Corporation A,33.11,0.47,2.58,21.33,2.20,4.40,2.34,0.12
Kesko Corporation B,34.00,0.48,2.58,21.33,2.20,4.29,2.41,0.12
Kojamo Plc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KONE Corporation,25.74,2.56,1.84,5.51,1.65,3.79,7.89,0.33
Konecranes Plc,30.40,0.81,2.86,15.93,1.20,3.72,2.02,0.18
Metso Corporation,23.53,1.54,0.68,8.94,1.05,3.78,3.11,0.08
Metsä Board Oyj A,16.12,1.55,0.42,3.28,0.21,2.61,2.46,0.13
Metsä Board Oyj B,15.40,1.48,0.42,3.28,0.21,2.73,2.35,0.13
Neste Corporation,20.79,1.41,3.55,16.92,1.70,2.34,4.29,0.21
Nokia Corporation,-25.62,1.29,-0.25,2.76,0.19,3.71,1.86,-0.09
Nokian Tyres Plc,12.79,2.39,1.61,10.03,1.56,5.70,2.73,0.16
Nordea Bank Abp,9.89,3.34,0.75,8.00,0.68,8.70,0.98,0.09
Orion Corporation A,12.57,3.85,1.60,4.81,1.45,4.91,6.14,0.33
Orion Corporation B,12.61,3.86,1.60,4.81,1.45,4.89,6.16,0.33
Outokumpu Oyj,7.21,0.26,0.94,6.54,0.25,6.30,0.61,0.14
Sampo Plc A,9.62,0.00,3.79,22.94,2.60,6.47,1.75,0.17
Sanoma Corporation,12.77,1.12,-1.00,3.38,0.35,3.56,2.91,-0.30
SSAB AB ser. A,11.97,0.55,0.23,5.24,0.10,2.78,0.69,0.04
SSAB AB ser. B,9.68,0.45,0.23,5.24,0.10,3.44,0.55,0.04
Stora Enso Oyj A,13.00,1.12,0.79,7.62,0.41,2.87,1.88,0.10
Stora Enso Oyj R,11.93,1.03,0.79,7.62,0.41,3.12,1.72,0.10
Telia Company AB,36.71,2.16,0.22,2.34,0.22,5.45,1.73,0.09
Terveystalo Plc,134.17,1.50,0.06,3.57,0.06,0.75,2.25,0.02
Tieto Corporation,16.67,1.34,1.45,6.42,1.40,5.00,4.36,0.23
UPM-Kymmene Corporation,12.85,1.47,1.82,16.23,1.15,4.16,1.70,0.11
Uponor Oyj,9.59,0.59,0.89,3.83,0.49,5.22,2.45,0.23
Valmet Corporation,24.95,0.97,0.85,6.19,0.55,2.69,3.31,0.14
Wärtsilä Corporation,22.79,1.86,0.65,4.01,0.92,5.94,3.87,0.16
YIT Corporation,51.50,0.33,0.44,4.44,0.25,4.85,1.16,0.10
