Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Aktia Bank Plc,10.72,2.95,0.59,8.98,0.57,6.11,1.04,0.07
Alma Media Corporation,15.48,1.46,0.39,1.66,0.24,3.69,3.92,0.23
Altia Plc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AS Tallink Grupp FDR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asiakastieto Group Oyj,41.27,6.99,1.06,5.37,0.95,3.65,4.84,0.20
Aspo Plc,15.18,0.57,0.63,3.63,0.43,4.64,2.55,0.17
Atria Plc A,9.30,0.14,0.92,14.81,0.50,6.80,0.50,0.06
Bank of Åland Plc A,9.59,1.68,1.34,15.16,0.65,4.68,0.92,0.09
Bank of Åland Plc B,9.28,1.62,1.34,15.16,0.65,4.83,0.89,0.09
Basware Corporation,-76.84,2.82,-0.80,8.05,0.00,0.00,3.63,-0.10
Bittium Corporation,-53.77,4.82,-0.13,3.27,0.30,4.29,2.14,-0.04
CapMan Plc,31.80,6.62,0.11,0.87,0.11,6.92,1.83,0.13
Caverion Oyj,-19.00,0.29,-0.17,2.09,0.00,0.00,2.55,-0.08
Cramo Oyj,8.28,1.00,1.88,12.47,0.85,5.19,1.31,0.15
eQ Oyj,16.98,7.32,0.42,1.67,0.50,6.27,4.78,0.25
Evli Pankki Oyj,35.22,0.00,0.71,3.06,0.52,6.42,2.65,0.23
F-Secure Corporation,117.75,2.20,0.07,0.44,0.04,1.70,5.35,0.16
HKScan Oyj A,-1.57,0.06,-0.83,6.38,0.09,4.82,0.29,-0.13
Kamux Corporation,19.00,0.55,0.28,1.43,0.12,1.97,4.25,0.20
Lassila & Tikanoja Plc,17.03,0.83,0.87,5.63,0.92,6.07,2.69,0.15
Lehto Group Oyj,6.34,0.47,0.84,2.62,0.34,7.06,1.84,0.32
Olvi Plc A,15.18,1.74,1.73,10.39,0.80,2.76,2.79,0.17
Oriola Corporation A,17.08,0.26,0.14,1.09,0.09,4.05,2.04,0.13
Oriola Corporation B,17.35,0.27,0.14,1.09,0.09,3.99,2.07,0.13
Outotec Oyj,83.12,0.53,0.01,2.55,0.00,0.00,1.30,0.00
Pihlajalinna Oyj,50.90,0.49,0.46,4.87,0.16,1.57,2.09,0.09
Ponsse Oyj 1,20.32,1.40,1.60,6.32,0.75,2.60,4.56,0.25
Pöyry PLC,12.73,0.83,0.09,2.10,0.05,0.71,3.33,0.04
Raisio Plc K,13.10,1.48,0.25,1.60,0.17,6.18,1.72,0.16
Raisio Plc Vaihto-osake,13.12,1.48,0.25,1.60,0.17,6.17,1.72,0.16
Ramirent Plc,11.45,0.84,0.58,2.85,0.44,7.84,1.97,0.20
Rapala VMC Corporation,21.47,0.50,0.06,3.66,0.04,1.24,0.88,0.02
Revenio Group Corporation,1.77,11.64,0.28,0.67,0.26,1.99,19.46,0.42
Robit Oyj,-6.25,0.54,-0.25,4.37,0.10,4.44,0.51,-0.06
Rovio Entertainment Corporation,13.15,1.26,0.26,1.77,0.09,1.90,2.67,0.15
Scanfil Plc,7.54,0.47,0.40,1.95,0.11,2.81,2.01,0.21
SRV Group Plc,-8.96,0.12,0.10,4.71,0.06,2.68,0.48,0.02
Stockmann Plc A,-3.32,0.16,-2.91,12.29,0.00,0.00,0.19,-0.24
Stockmann Plc B,-2.99,0.14,-2.91,12.29,0.00,0.00,0.17,-0.24
Suomen Hoivatilat Oyj,0.74,15.96,1.01,5.11,0.13,1.66,1.53,0.20
Suominen Oyj,18.82,0.28,0.25,2.34,0.11,5.31,0.88,0.11
Taaleri Oyj,12.03,2.69,0.76,3.74,0.26,3.38,2.06,0.20
Technopolis Plc,9.30,4.12,0.48,4.48,0.17,3.66,1.04,0.11
Teleste Corporation,21.48,0.47,-0.48,3.76,0.10,1.72,1.54,-0.13
Tikkurila Oyj,98.46,0.97,0.24,4.07,0.80,6.25,3.14,0.06
Tokmanni Group Oyj,11.58,0.51,0.45,2.77,0.41,5.90,2.51,0.16
Vaisala Corporation A,10.18,1.83,0.75,5.09,1.05,6.29,3.28,0.15
Viking Line Abp,58.64,0.27,0.49,20.75,0.20,1.55,0.62,0.02
