Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
AF Gruppen,19.31,0.94,6.34,21.21,5.00,3.80,6.20,0.30
Aker,30.28,1.10,20.41,538.99,18.00,2.91,1.15,0.04
Aker BP,38.18,5.24,6.27,68.21,7.01,2.29,4.49,0.09
Aker Solutions,57.88,0.67,0.81,25.91,0.00,0.00,2.14,0.03
Atea,22.19,0.38,5.04,31.32,6.50,5.62,3.69,0.16
Austevoll Seafood,12.85,0.95,4.05,94.57,2.80,2.87,1.03,0.04
Bakkafrost,24.48,4.50,13.82,98.01,13.51,2.95,4.68,0.14
Borr Drilling,-25.56,0.00,-1.51,25.65,0.00,0.00,1.50,-0.06
DNB,11.64,5.01,12.81,133.16,7.10,4.52,1.18,0.10
DNO,4.19,5.77,3.75,6.64,0.00,0.00,2.28,0.56
Elkem,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Entra,4.93,9.81,24.30,103.07,4.10,3.70,1.07,0.24
Equinor,18.96,1.42,11.35,98.64,7.15,3.33,2.18,0.12
EVRY,-40.93,0.84,-0.70,8.73,1.25,4.36,3.28,-0.08
Gjensidige Forsikring,16.41,0.00,9.05,47.37,7.10,5.48,2.73,0.19
Kongsberg Gruppen,39.49,1.42,4.62,61.38,3.75,2.18,2.80,0.08
Lerøy Seafood Group,11.06,1.72,2.94,24.31,1.50,2.78,2.22,0.12
Marine Harvest,19.33,2.24,9.28,46.43,12.20,7.45,3.53,0.20
Norsk Hydro,11.08,0.89,4.25,44.59,1.75,3.59,1.09,0.10
Norwegian Finans Holding,9.99,4.35,8.55,30.61,0.00,0.00,2.94,0.28
Ocean Yield,11.50,3.76,7.10,45.49,6.13,8.67,1.55,0.16
Olav Thon Eiendomsselskap,4.85,5.75,31.87,230.72,2.20,1.47,0.65,0.14
Orkla,89.82,1.85,8.42,34.19,2.60,3.62,2.10,0.25
SalMar,15.39,3.61,20.07,67.68,19.00,5.51,5.10,0.30
Schibsted ser. A,26.40,3.52,8.92,63.07,1.75,0.70,3.96,0.14
Schibsted ser. B,24.79,3.30,8.92,63.07,1.75,0.75,3.72,0.14
Shelf Drilling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SpareBank 1 SMN,9.49,2.19,8.85,86.31,4.40,5.24,0.97,0.10
SpareBank 1 SR-Bank,9.93,4.11,8.16,77.77,4.25,4.97,1.10,0.10
Storebrand,11.52,0.00,5.08,65.91,2.50,3.85,0.99,0.08
Subsea 7,17.34,1.26,11.42,147.94,5.00,3.96,0.85,0.08
Telenor,19.79,2.03,7.98,41.52,8.10,4.80,4.06,0.19
TGS-NOPEC Geophysical Company,53.31,7.28,6.07,96.38,5.29,1.84,2.99,0.06
Tomra Systems,39.58,3.36,4.44,32.01,2.35,1.39,5.27,0.14
Veidekke,10.19,0.36,8.17,28.78,5.00,6.10,2.85,0.28
Wallenius Wilhelmsen Logistics,17.56,0.65,2.60,54.31,0.00,0.00,0.71,0.05
Wilh. Wilhelmsen Holding ser. A,3.80,1.43,41.71,386.70,0.00,0.00,0.52,0.11
Wilh. Wilhelmsen Holding ser. B,3.80,1.43,41.71,386.70,0.00,0.00,0.52,0.11
XXL,18.08,1.04,3.62,27.68,2.00,3.07,2.35,0.13
Yara International,29.04,0.98,14.45,284.87,6.50,1.93,1.18,0.05
