Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
ABG Sundal Collier Holding,1.00,1.60,0.52,1.95,0.00,0.00,2.24,0.27
Akastor,-16.75,0.81,-0.21,19.26,0.00,0.00,0.67,-0.01
AKVA Group,17.80,0.84,3.86,19.37,1.50,2.21,3.51,0.20
American Shipping Company,16.62,2.76,1.33,24.85,2.59,7.87,1.32,0.05
Arcus,17.31,1.09,2.67,24.54,1.66,4.10,1.65,0.11
Arendals Fossekompani,3.35,1.76,1 091.16,1 963.11,420.00,12.07,1.77,0.56
Axactor,1 037.00,35.15,0.02,1.92,0.00,0.00,10.80,0.01
B2Holding,8.91,2.62,1.30,8.52,0.30,2.10,1.67,0.15
Bonheur,-3.24,0.58,-21.45,262.22,2.00,1.71,0.45,-0.08
Borregaard,15.71,1.56,4.76,33.21,2.25,3.01,2.25,0.14
Bouvet,15.96,1.35,10.79,21.50,8.50,4.01,9.86,0.50
BW LPG,-7.86,0.91,-2.59,62.16,0.00,0.00,0.42,-0.04
BW Offshore Limited,13.28,1.44,1.77,55.96,0.00,0.00,0.72,0.03
Europris,10.54,0.78,2.57,10.71,1.85,6.83,2.53,0.24
Fjord1,0.00,0.00,5.41,20.41,2.70,0.00,0.00,0.27
Fjordkraft Holding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FLEX LNG,-220.00,18.03,-0.23,11.62,0.00,0.00,0.95,-0.02
Frontline,-3.19,1.38,-12.79,57.48,1.27,2.94,0.75,-0.22
Gaming Innovation Group,-44.70,1.42,-0.19,11.94,0.00,0.00,1.57,-0.02
Golden Ocean Group,8.63,1.64,-0.13,85.16,0.79,1.84,0.50,0.00
Hexagon Composites,33.37,3.46,0.42,8.47,0.30,1.01,3.51,0.05
Höegh LNG Holdings,63.36,1.30,1.97,75.04,3.26,8.43,0.52,0.03
IDEX,-0.88,135.17,-0.47,0.62,0.00,0.00,6.54,-0.76
Kitron,13.44,0.62,0.56,3.77,0.55,6.40,2.28,0.15
Komplett Bank,7.50,2.91,1.60,8.18,0.00,0.00,1.47,0.20
Kongsberg Automotive,65.18,0.28,-0.19,4.61,0.00,0.00,1.56,-0.04
Kværner,9.39,0.49,2.01,11.81,0.00,0.00,1.01,0.17
Magseis Fairfield,-16.52,1.86,0.90,12.83,0.00,0.00,1.44,0.07
MPC Container Ships,-1 000.00,176.47,-0.03,4.42,0.00,0.00,6.79,-0.01
Multiconsult,31.02,0.46,2.95,21.58,1.50,2.59,2.69,0.14
NEL,-50.68,18.58,-0.05,1.41,0.00,0.00,3.95,-0.04
Nordic Nanovector,-6.23,4 256.00,-5.99,13.86,0.00,0.00,3.07,-0.43
Nordic Semiconductor,52.23,2.46,0.34,6.28,0.00,0.00,4.66,0.05
Northern Drilling,903.33,0.00,-0.54,49.50,0.00,0.00,1.09,-0.01
Norway Royal Salmon,18.37,1.80,5.25,42.48,3.90,1.92,4.79,0.12
Norwegian Air Shuttle,9.38,0.15,-8.38,114.40,0.00,0.00,1.13,-0.07
Norwegian Energy Company,-35.38,166.19,5.42,66.85,0.00,0.00,3.46,0.08
Norwegian Property,11.45,7.52,2.46,13.96,0.29,2.70,0.77,0.18
NRC Group,19.21,1.13,3.69,32.07,1.75,2.75,1.98,0.12
NTS,13.82,3.59,3.12,28.39,1.00,1.67,2.11,0.11
Ocean Yield,8.59,3.22,7.10,45.49,6.13,10.13,1.33,0.16
Odfjell Drilling,26.67,0.91,1.46,31.72,0.00,0.00,0.78,0.05
Odfjell ser. A,-4.55,0.36,7.83,76.55,1.50,5.24,0.37,0.10
Odfjell ser. B,-4.42,0.35,7.83,76.55,1.50,5.40,0.36,0.10
Otello Corporation,-10.34,0.61,-2.85,25.79,0.00,0.00,0.55,-0.11
Pareto Bank,6.58,3.75,5.47,42.61,0.55,1.53,0.84,0.13
Petroleum Geo-Services,-8.37,0.84,-2.27,18.66,0.00,0.00,1.02,-0.12
Protector Forsikring,25.75,0.00,5.99,30.08,0.00,0.00,1.59,0.20
RAK Petroleum,1.77,2.05,6.79,23.13,0.00,0.00,0.61,0.29
REC Silicon,-0.37,0.65,-1.19,1.45,0.00,0.00,0.40,-0.82
Salmones Camanchaca,0.00,0.00,0.00,0.00,0.41,0.48,0.00,0.00
SAS AB,5.56,0.20,4.08,17.39,0.00,0.00,1.31,0.23
Sbanken,11.23,5.52,6.16,52.46,0.75,0.98,1.46,0.12
Scatec Solar,62.22,7.14,1.35,23.98,0.95,1.13,3.50,0.06
Seadrill,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Selvaag Bolig,11.12,1.26,4.28,30.48,4.00,9.23,1.42,0.14
Shelf Drilling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solon Eiendom,71.70,2.17,-1.25,9.54,1.15,3.21,3.76,-0.13
SpareBank 1 BV,7.74,1.93,4.78,42.54,2.40,6.49,0.87,0.11
SpareBank 1 Nord-Norge,9.91,2.00,6.66,56.84,4.00,6.06,1.16,0.12
SpareBank 1 Ringerike Hadeland,9.70,4.12,20.62,209.39,10.30,5.15,0.96,0.10
SpareBank 1 Østfold Akershus,8.42,3.56,24.24,233.91,9.30,4.56,0.87,0.10
SpareBank 1 Østlandet,10.63,2.59,7.96,84.45,3.96,4.68,1.00,0.09
Sparebanken Møre,9.60,1.98,29.80,320.77,15.50,5.42,0.89,0.09
Sparebanken Sør,8.07,0.71,11.74,132.61,6.00,6.33,0.71,0.09
Sparebanken Vest,8.37,0.86,6.33,59.59,2.30,4.34,0.89,0.11
Spectrum,-14.44,2.23,-4.05,23.70,0.50,1.25,1.69,-0.17
Star Bulk Carriers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stolt-Nielsen,13.61,0.35,7.48,201.34,4.01,3.94,0.51,0.04
The Scottish Salmon Company,8.70,1.78,1.38,6.66,0.34,2.21,2.31,0.21
Treasure,0.00,0.00,-4.77,21.59,0.30,0.00,0.00,-0.22
