Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
2cureX AB,-22.38,18.00,-0.37,1.96,0.00,0.00,4.22,-0.19
A Group Of Retail Assets AB Pref,0.00,0.00,0.00,45.59,20.00,7.94,5.53,0.00
A Group of Retail Assets AB ser. B,15.37,1.44,1.23,45.59,0.00,0.00,0.41,0.03
A1M Pharma AB,-0.34,0.00,-10.60,5.01,0.00,0.00,0.72,-2.12
AB Fastator,6.70,7.56,3.79,41.63,0.00,0.00,0.61,0.09
Absolent Group AB,28.66,4.10,5.68,23.46,1.00,0.56,7.59,0.24
Acarix AB,-4.59,197.33,-1.29,5.60,0.00,0.00,1.06,-0.23
Acconeer AB,-12.05,21.40,-1.90,11.73,0.00,0.00,1.95,-0.16
AdCityMedia AB,15.52,2.00,7.95,29.12,2.75,1.94,4.86,0.27
AdderaCare AB,-98.75,0.87,0.32,4.74,0.00,0.00,1.67,0.07
ADDvise Group AB A,-17.08,0.33,-0.15,1.14,0.00,0.00,1.80,-0.13
ADDvise Group AB B,-11.12,0.22,-0.15,1.14,0.00,0.00,1.17,-0.13
Advenica AB,-4.88,2.78,-1.85,5.87,0.00,0.00,2.04,-0.32
AFRICA ENERGY CORP.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ages Industri AB ser. B,24.15,0.69,3.73,63.45,1.50,1.50,1.58,0.06
Agromino TO 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aino Health AB,-0.70,1.21,-5.86,4.05,0.00,0.00,1.07,-1.45
Akelius Residential AB Pref,0.00,0.00,0.00,15.68,20.00,5.87,21.72,0.00
Aktiebolaget Högkullen Pref A,0.00,0.00,0.00,86.41,2.40,7.12,0.39,0.00
Alcadon Group AB,16.23,1.45,2.98,8.80,0.50,0.97,5.86,0.34
Alelion Energy Systems AB,-19.85,4.30,-0.66,2.18,0.00,0.00,6.01,-0.30
Allgon AB BTA B,0.00,0.00,-0.03,4.38,0.00,0.00,0.00,-0.01
ALLGON AB ser. B,-58.00,0.68,-0.03,4.38,0.00,0.00,1.19,-0.01
Allgon AB TR B,-2.01,0.01,-0.03,4.38,0.00,0.00,0.01,-0.01
ALM Equity AB,9.28,0.78,22.21,203.90,0.00,0.00,1.01,0.11
ALM Equity AB Pref,0.00,0.00,0.00,203.90,8.40,8.32,0.50,0.00
Amasten Fastighets AB,20.75,2.34,0.19,5.88,0.00,0.00,0.71,0.03
Amasten Fastighets AB Pref,0.00,0.00,0.00,5.88,20.00,6.47,52.55,0.00
Annexin Pharmaceuticals AB,-0.61,0.00,-6.28,4.15,0.00,0.00,0.81,-1.51
Annexin Pharmaceuticals TO2,0.00,0.00,-6.28,4.15,0.00,0.00,0.00,-1.51
Arc Aroma Pure AB,25.74,23.34,1.56,6.55,0.00,0.00,6.13,0.24
Arcoma AB,-12.87,1.38,-0.87,3.23,0.00,0.00,3.47,-0.27
Arctic Minerals AB,-13.78,0.00,-0.05,1.11,0.00,0.00,0.62,-0.05
AroCell AB (publ),-9.90,297.00,-0.60,1.63,0.00,0.00,3.64,-0.37
Aspire Global plc,142.14,1.88,2.48,5.63,0.85,2.85,5.30,0.44
Atvexa AB ser. B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Auriant Mining AB,-4.28,0.29,-0.54,-2.48,0.00,0.00,-0.93,0.22
Avensia AB,43.70,2.47,0.17,0.89,0.18,1.53,13.26,0.19
Avtech Sweden AB B,-77.50,12.40,-0.06,0.53,0.00,0.00,5.85,-0.11
Awardit AB,21.78,5.69,2.47,4.39,2.00,3.72,12.26,0.56
aXichem AB,-57.69,0.00,-0.50,2.29,0.00,0.00,13.10,-0.22
Bambuser AB,-0.21,0.43,-2.51,1.78,0.00,0.00,0.30,-1.41
Bayn Europe AB,-0.80,2.08,-1.25,0.47,0.00,0.00,2.13,-2.66
Bayn Europe AB BTA 1,-0.71,1.85,-1.25,0.47,0.00,0.00,1.89,-2.66
BBS-Bioactive Bone Substitutes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIMobject AB,-26.29,18.71,-1.00,2.49,0.00,0.00,12.25,-0.40
Binero Group AB,-212.50,1.28,-0.10,5.08,0.00,0.00,1.67,-0.02
Bio-Works Technologies AB,-6.08,16.86,-1.22,5.14,0.00,0.00,1.44,-0.24
Bioservo Technologies AB,-5.85,9.80,-2.41,7.58,0.00,0.00,1.91,-0.32
Biovica International AB ser. B,-11.19,26.86,-0.84,5.21,0.00,0.00,1.80,-0.16
Bong TO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bonäsudden Holding AB,10.36,5.16,11.87,107.59,7.60,6.18,1.14,0.11
Botnia Exploration Holding AB,-143.33,286.67,-0.06,3.65,0.00,0.00,2.36,-0.02
Bredband2 i Skandinavien AB,30.00,2.00,0.05,0.18,0.05,3.33,8.33,0.28
Brighter AB,-13.59,13.82,-0.47,1.40,0.00,0.00,5.63,-0.34
Brighter TO 3,-10.98,9.05,-0.47,1.40,0.00,0.00,3.69,-0.34
