Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
AAK AB,25.80,1.24,4.71,30.20,1.63,1.26,4.29,0.16
ABB Ltd,19.55,1.38,8.54,56.40,6.81,3.73,3.24,0.15
Ahlsell AB,12.31,0.72,3.28,20.64,1.65,3.62,2.21,0.16
Ahlstrom-Munksjö Oyj,15.53,0.70,6.81,106.23,5.35,3.81,1.32,0.06
Alfa Laval AB,24.56,2.70,7.09,48.63,4.25,1.87,4.68,0.15
Arion Banki hf SDB,0.00,0.00,0.00,0.00,0.41,7.07,0.00,0.00
Arjo AB ser. B,67.44,1.03,0.43,18.63,0.50,1.72,1.56,0.02
ASSA ABLOY AB ser. B,55.75,2.57,7.76,45.52,3.30,1.88,3.86,0.17
AstraZeneca PLC,36.33,4.71,19.56,97.48,22.37,3.25,7.07,0.20
Atlas Copco AB ser. A,2.48,2.29,13.40,48.20,14.84,6.92,4.45,0.28
Atlas Copco AB ser. B,2.28,2.11,13.40,48.20,14.84,7.51,4.10,0.28
Atrium Ljungberg AB ser. B,7.90,7.86,19.21,136.79,4.50,2.98,1.11,0.14
Attendo AB,25.64,1.12,4.24,33.36,1.27,1.62,2.34,0.13
Autoliv Inc. SDB,12.42,0.77,52.94,343.90,22.88,3.18,2.09,0.15
Avanza Bank Holding AB,36.71,14.42,12.68,47.57,10.50,2.21,9.99,0.27
Axfood AB,20.86,0.70,7.00,20.35,7.00,4.57,7.52,0.34
Axis AB,26.75,2.93,10.59,44.28,1.44,0.40,8.20,0.24
Betsson AB ser. B,10.96,2.35,5.20,24.23,2.84,3.88,3.02,0.21
BillerudKorsnäs AB,21.57,0.93,7.33,66.33,4.30,4.23,1.53,0.11
Boliden AB,7.20,1.12,24.61,125.84,13.85,6.94,1.59,0.20
Bonava AB ser. A,1.00,0.80,12.93,61.17,5.20,4.86,1.75,0.21
Bonava AB ser. B,0.99,0.80,12.93,61.17,5.20,4.90,1.74,0.21
Bravida Holding AB,15.05,0.75,4.05,22.88,1.55,2.42,2.80,0.18
Castellum AB,5.64,8.17,21.51,123.48,5.30,3.42,1.26,0.17
Collector AB,9.75,2.70,5.03,29.98,0.00,0.00,1.69,0.17
Com Hem Holding AB,58.58,3.69,2.54,24.10,6.00,4.15,6.00,0.11
Dometic Group AB,10.51,1.29,5.05,49.06,2.05,3.34,1.25,0.10
"Electrolux, AB ser. A",12.67,0.46,19.99,66.63,8.30,4.26,2.93,0.30
"Electrolux, AB ser. B",11.70,0.42,19.99,66.63,8.30,4.61,2.70,0.30
Elekta AB ser. B,32.75,3.65,2.88,20.79,1.40,1.29,5.21,0.14
Epiroc AB ser. A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Epiroc AB ser. B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Ericsson, Telefonab. L M ser. A",-13.90,1.29,-10.74,29.86,1.00,1.26,2.66,-0.36
"Ericsson, Telefonab. L M ser. B",-13.90,1.29,-10.74,29.86,1.00,1.26,2.66,-0.36
Essity AB ser. A,18.79,1.39,11.56,60.21,5.75,2.65,3.60,0.19
Essity AB ser. B,18.81,1.40,11.56,60.21,5.75,2.65,3.61,0.19
Evolution Gaming Group AB,27.64,12.30,17.05,30.15,9.33,1.55,19.97,0.57
Fabege AB,4.86,16.37,16.98,84.68,2.25,1.99,1.33,0.20
Fastighets AB Balder ser. B,5.56,6.85,39.54,173.87,0.00,0.00,1.29,0.23
Fingerprint Cards AB ser. B,-4.93,0.97,0.38,7.42,0.00,0.00,1.24,0.05
Getinge AB ser. B,-38.41,0.95,5.49,72.72,1.50,1.75,1.18,0.08
Hemfosa Fastigheter AB,5.38,5.30,21.21,112.36,4.80,4.29,1.00,0.19
Hemfosa Fastigheter Pref AB,0.00,0.00,0.00,112.36,10.00,5.75,1.55,0.00
"Hennes & Mauritz AB, H & M ser. B",20.15,1.32,9.78,36.08,9.75,6.11,4.42,0.27
Hexagon AB ser. B,20.26,4.68,18.26,126.13,5.58,1.26,3.50,0.14
HEXPOL AB ser. B,17.23,2.28,4.44,20.37,1.95,2.41,3.98,0.22
Holmen AB ser. A,18.32,2.18,9.84,129.99,6.50,2.93,1.71,0.08
Holmen AB ser. B,16.53,1.97,9.84,129.99,6.50,3.24,1.54,0.08
Hufvudstaden AB ser. A,6.77,14.66,14.71,120.23,3.50,2.68,1.09,0.12
Hufvudstaden AB ser. C,33.90,73.43,14.71,120.23,3.50,0.53,5.45,0.12
Husqvarna AB ser. A,16.98,0.95,4.60,27.18,2.25,3.45,2.40,0.17
Husqvarna AB ser. B,16.85,0.95,4.60,27.18,2.25,3.48,2.38,0.17
ICA Gruppen AB,16.98,0.58,20.53,157.70,11.00,3.61,1.93,0.13
"Industrivärden, AB ser. A",8.63,0.00,35.74,220.31,5.50,2.93,0.85,0.16
"Industrivärden, AB ser. C",8.41,0.00,35.74,220.31,5.50,3.01,0.83,0.16
Indutrade AB,22.72,1.71,8.52,42.64,3.75,1.78,4.94,0.20
Intrum AB,14.00,2.47,14.62,170.56,9.50,4.19,1.33,0.09
Investor AB ser. A,7.12,0.00,57.77,438.31,12.00,3.09,0.89,0.13
Investor AB ser. B,7.02,0.00,57.77,438.31,12.00,3.13,0.87,0.13
JM AB,5.89,0.63,31.98,85.04,11.00,7.15,1.81,0.38
Kindred Group plc,12.34,2.34,5.74,14.42,6.49,7.55,5.96,0.40
Kinnevik AB ser. A,4.08,0.00,74.00,329.02,8.25,3.31,0.76,0.22
Kinnevik AB ser. B,4.04,0.00,74.00,329.02,8.25,3.35,0.75,0.22
Klövern AB pref,0.00,0.00,0.00,15.84,20.00,6.62,19.07,0.00
Klövern AB Ser. A,4.60,3.11,2.49,15.84,0.44,4.27,0.65,0.16
Klövern AB Ser. B,4.56,3.08,2.49,15.84,0.44,4.31,0.64,0.16
Kungsleden AB,6.35,5.67,9.03,64.98,2.20,3.53,0.96,0.14
"Latour, Investmentab. ser. B",27.49,6.63,4.37,31.64,2.25,2.18,3.26,0.14
LeoVegas AB,27.58,2.18,1.79,5.83,1.20,2.56,8.04,0.31
Lifco AB ser.B,25.42,3.04,11.93,61.05,4.00,1.19,5.50,0.20
Loomis AB ser. B,12.74,1.14,18.98,93.55,9.00,3.46,2.78,0.20
"Lundbergföretagen AB, L E ser. B",11.77,3.22,26.94,252.40,3.00,1.13,1.05,0.11
Lundin Mining Corporation,6.68,1.48,4.84,41.56,0.83,2.38,0.84,0.12
Lundin Petroleum AB,23.18,5.57,10.46,-8.51,4.00,1.48,-31.68,-1.23
Millicom International Cellular S.A. SDB,37.60,1.48,6.99,251.12,22.11,4.40,2.00,0.03
Modern Times Group MTG AB ser. A,18.23,1.26,18.74,77.62,12.50,3.78,4.26,0.24
Modern Times Group MTG AB ser. B,17.46,1.21,18.74,77.62,12.50,3.94,4.08,0.24
Munters Group AB,16.88,0.60,1.45,20.41,0.30,0.90,1.63,0.07
NCC AB ser. A,39.29,0.27,9.26,50.87,8.00,5.82,2.70,0.18
