Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
AcadeMedia AB,11.02,0.40,4.30,40.54,0.00,0.00,1.06,0.11
Acando AB ser. B,16.54,1.33,1.72,11.61,1.40,4.43,2.72,0.15
AddLife AB ser. B,41.65,2.20,4.96,30.39,2.20,1.04,6.98,0.16
Addnode Group AB ser. B,25.45,1.35,2.94,32.29,2.25,2.01,3.47,0.09
Addtech AB ser. B,22.86,1.60,7.68,31.25,4.00,2.08,6.14,0.25
Africa Oil Corp.,0.00,0.00,0.00,17.60,0.00,0.00,0.55,0.00
Alimak Group AB,23.65,1.64,5.65,57.23,2.30,1.81,2.22,0.10
Alligator Bioscience AB,-20.77,33.33,-0.89,8.66,0.00,0.00,3.12,-0.10
Ambea AB,18.66,0.96,3.38,36.68,1.00,1.18,2.31,0.09
AQ Group AB,22.98,0.69,11.14,89.62,2.75,1.80,1.70,0.12
Beijer Alma AB ser. B,19.89,2.15,6.44,33.04,4.75,3.36,4.28,0.19
Beijer Ref AB ser. B,22.02,1.86,4.02,25.90,1.92,1.33,5.56,0.16
Bergman & Beving Aktiebolag ser. B,14.98,0.65,44.95,54.82,2.50,2.77,1.65,0.82
Besqab AB,5.61,0.81,20.78,83.97,6.50,6.02,1.29,0.25
Better Collective A/S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bilia AB ser. A,12.65,0.32,6.72,25.49,4.50,5.31,3.32,0.26
BioArctic AB ser. B,380.00,40.86,0.20,7.22,0.00,0.00,10.53,0.03
BioGaia AB ser. B,31.83,10.64,10.42,26.76,9.00,2.38,14.11,0.39
Biotage AB,55.68,12.04,2.14,8.70,1.40,1.01,16.00,0.25
BlackPearl Resources Inc. SDB,-30.67,3.72,0.34,12.56,0.00,0.00,0.73,0.03
Boozt AB,47.21,2.03,-0.22,14.04,0.00,0.00,5.18,-0.02
Bufab AB,15.44,1.15,5.61,37.16,2.25,2.32,2.60,0.15
Bulten AB,12.74,0.70,7.96,70.73,3.75,3.82,1.39,0.11
Bure Equity AB,5.47,6.72,12.03,112.51,2.00,1.53,1.16,0.11
Bygghemma Group First AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Byggmax Group AB,23.86,0.42,3.20,22.28,2.50,6.80,1.65,0.14
Calliditas Therapeutics AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Camurus AB,-16.19,61.99,-5.11,10.33,0.00,0.00,8.76,-0.49
Capio AB,23.63,0.53,2.62,40.60,0.95,1.64,1.43,0.06
Catella AB ser. A,13.63,0.86,2.35,21.12,1.00,3.86,1.23,0.11
Catella AB ser. B,12.82,0.80,2.35,21.12,1.00,4.11,1.15,0.11
Catena AB,11.98,8.01,15.73,122.86,4.50,2.30,1.59,0.13
Catena Media P.L.C,27.52,8.90,4.00,17.73,0.00,0.00,6.44,0.23
Cavotec SA,-4.78,0.80,-4.00,13.13,0.18,0.83,1.65,-0.30
CellaVision AB,88.89,22.21,2.95,10.10,1.50,0.52,28.51,0.29
Cherry AB ser. B,40.55,3.10,0.53,11.96,0.00,0.00,6.14,0.04
Clas Ohlson AB ser. B,16.47,0.62,5.66,34.51,6.25,7.74,2.34,0.16
Cloetta AB ser. B,20.95,1.31,-0.34,13.23,1.50,5.68,2.00,-0.03
CLX Communications AB,40.61,1.74,2.60,27.86,0.00,0.00,3.80,0.09
Concentric AB,15.09,2.47,7.48,21.41,3.75,2.92,6.01,0.35
Coor Service Management Holding AB,299.55,0.82,0.42,25.72,4.00,6.07,2.56,0.02
Corem Property Group AB Pref,0.00,0.00,0.00,23.10,20.00,6.65,13.02,0.00
Corem Property Group AB ser. A,3.71,2.07,4.60,23.10,0.40,4.04,0.43,0.20
Corem Property Group AB ser. B,4.05,2.26,4.60,23.10,0.40,3.70,0.47,0.20
Creades AB A,12.67,0.00,19.57,266.18,14.00,4.99,1.05,0.07
Diös Fastigheter AB,6.59,4.30,7.78,50.86,2.90,5.18,1.10,0.15
Duni AB,16.10,1.12,7.00,55.19,5.00,4.73,1.92,0.13
Dustin Group AB,25.54,0.66,3.05,18.96,3.10,3.98,4.11,0.16
Eastnine AB,9.00,0.00,6.93,96.43,2.10,2.39,0.91,0.07
Elanders AB ser. B,17.48,0.30,5.55,69.38,2.60,2.75,1.36,0.08
Eltel AB,-10.51,0.20,-15.39,17.47,0.00,0.00,1.12,-0.88
EnQuest PLC,-10.53,0.90,-0.36,4.56,0.00,0.00,0.74,-0.08
"Fagerhult, AB",18.79,1.78,4.32,16.35,2.00,2.49,4.92,0.26
Fast Partner AB,5.62,7.14,7.81,41.97,1.44,2.64,1.30,0.19
Fast Partner AB Pref,0.00,0.00,0.00,41.97,6.68,5.73,2.78,0.00
Fenix Outdoor International AG Ser. B,18.21,1.95,53.99,169.24,10.00,1.04,5.70,0.32
Ferronordic Machines AB,10.17,0.54,14.10,42.05,1.73,1.35,3.04,0.34
G5 Entertainment AB,13.77,1.58,10.15,26.19,2.50,1.22,7.80,0.39
Garo AB,20.00,2.08,8.56,25.27,4.00,2.41,6.57,0.34
Gränges AB,10.31,0.62,8.63,43.99,3.00,3.21,2.12,0.20
Gunnebo AB,-3.48,0.31,2.00,24.22,1.20,5.01,0.99,0.08
Haldex AB,17.71,0.74,1.67,30.98,0.55,0.73,2.42,0.05
Handicare Group AB,21.03,0.67,-0.69,27.58,0.50,1.32,1.37,-0.03
Hansa Medical AB,-58.21,3 050.00,-5.04,17.99,0.00,0.00,16.95,-0.28
Heba Fastighets AB ser. B,11.56,14.18,8.91,104.00,1.80,1.57,1.11,0.09
Hembla AB ser. B,5.02,8.64,19.73,99.55,0.00,0.00,1.60,0.20
Hexatronic Group AB,20.18,1.25,2.50,11.48,0.40,0.88,3.97,0.22
HiQ International AB,19.28,1.69,2.86,14.02,3.30,6.31,3.73,0.20
HMS Networks AB,45.20,5.71,3.05,14.48,1.50,1.04,9.96,0.21
Hoist Finance AB,11.86,2.38,5.59,39.77,1.90,2.74,1.75,0.14
Humana AB,14.69,0.44,3.65,35.59,0.60,1.10,1.53,0.10
I.A.R Systems Group AB ser. B,40.23,9.04,6.33,22.99,5.00,2.02,10.74,0.28
Immunovia AB,-37.31,102.80,-2.67,13.67,0.00,0.00,10.75,-0.20
Infant Bacterial Therapeutics AB ser. B,-69.39,3 712.50,-5.78,22.82,0.00,0.00,6.51,-0.25
Instalco Intressenter AB,16.26,0.99,3.69,17.08,1.10,1.64,3.92,0.22
International Petroleum Corporation,0.00,0.00,0.00,28.83,0.00,0.00,1.47,0.00
Internationella Engelska Skolan i Sve AB,17.47,1.13,3.80,23.80,0.00,0.00,2.79,0.16
Invisio Communications AB,51.71,7.26,1.42,5.89,0.60,0.99,10.27,0.24
Inwido AB,11.12,0.56,5.02,52.92,3.50,5.69,1.16,0.09
ITAB Shop Concept AB ser. B,6.95,0.31,3.12,16.25,1.75,9.10,1.18,0.19
KABE Group AB ser. B,10.30,0.63,14.78,100.78,5.50,3.38,1.61,0.15
KappAhl AB,8.85,0.42,2.92,21.44,6.50,25.15,1.21,0.14
Karo Pharma AB,7.75,5.17,0.17,18.18,0.28,0.72,2.15,0.01
Knowit AB,15.52,1.22,10.22,49.05,4.75,2.71,3.57,0.21
Lagercrantz Group AB ser B,19.93,1.81,4.23,18.74,2.00,2.20,4.86,0.23
Lindab International AB,15.03,0.61,4.55,52.46,1.55,2.35,1.26,0.09
Lucara Diamond Corp,12.40,2.35,1.52,4.31,0.69,4.60,3.48,0.35
Lundin Gold Inc.,-14.55,0.00,-2.85,16.20,0.00,0.00,1.98,-0.18
Magnolia Bostad AB,5.93,0.84,5.16,26.20,1.75,4.46,1.50,0.20
Medicover AB ser. B,41.20,2.07,1.38,22.23,0.00,0.00,4.00,0.06
Medivir AB ser. B,-2.39,16.68,-16.36,25.32,0.00,0.00,1.39,-0.65
Mekonomen AB,13.69,0.76,8.36,55.12,5.82,5.54,1.90,0.15
Midsona AB ser. A,24.73,1.42,1.90,33.69,1.25,1.79,2.08,0.06
Midsona AB ser. B,23.29,1.34,1.90,33.69,1.25,1.90,1.96,0.06
Momentum Group AB ser. B,11.16,0.47,6.40,41.23,2.60,2.75,2.29,0.16
Mr Green & Co AB,31.20,2.29,2.76,24.57,1.30,1.89,2.81,0.11
Mycronic AB,13.25,3.95,6.40,18.39,2.50,2.07,6.58,0.35
Nederman Holding AB,19.11,1.13,5.30,30.61,2.00,1.97,3.32,0.17
Net Insight AB ser. B,279.00,2.51,0.01,1.41,0.00,0.00,1.98,0.01
New Wave Group AB ser. B,10.02,0.65,5.34,45.32,1.70,3.09,1.21,0.12
NGEx Resources Inc,-22.87,0.00,-0.24,0.26,0.00,0.00,26.38,-0.92
Nobina AB,15.04,0.59,3.15,16.25,3.35,5.49,3.76,0.19
Nolato AB ser. B,14.62,1.62,21.74,82.07,12.50,3.02,5.04,0.26
Nordic Waterproofing Holding A/S,12.81,0.84,5.68,41.91,3.75,4.92,1.82,0.14
NP3 Fastigheter AB,7.75,4.57,8.59,47.55,2.70,4.50,1.26,0.18
NP3 Fastigheter AB Pref,0.00,0.00,0.00,47.55,2.00,6.25,0.67,0.00
OEM International AB ser. B,19.44,1.80,9.26,34.70,6.00,2.80,6.17,0.27
