Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
A3 Allmänna IT- och Telekom. AB,525.00,0.64,0.03,6.15,0.00,0.00,2.56,0.00
Actic Group AB,22.50,0.53,1.44,39.37,0.50,1.54,0.82,0.04
Active Biotech AB,-13.54,21.67,-0.27,0.60,0.00,0.00,5.42,-0.45
Agromino A/S,-3.08,1.23,-6.04,17.99,0.00,0.00,1.03,-0.34
Anoto Group AB,-1.30,1.30,-1.03,1.88,0.00,0.00,0.71,-0.55
Arctic Paper S.A.,3.17,0.06,2.23,19.89,0.48,6.80,0.35,0.11
Arise AB,31.27,1.92,0.63,24.69,0.00,0.00,0.80,0.03
Ascelia Pharma AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3 Consulting Group AB,21.90,0.70,3.15,12.52,2.25,3.26,5.51,0.25
Bactiguard Holding AB ser. B,-83.33,7.65,-0.45,11.14,0.00,0.00,3.37,-0.04
Balco Group AB,18.04,1.31,3.58,20.56,2.00,3.10,3.14,0.17
BE Group AB,9.00,0.11,6.16,68.56,1.75,4.14,0.62,0.09
Beijer Electronics Group AB,29.47,1.12,1.52,22.80,0.50,0.90,2.43,0.07
Bergs Timber AB ser. B,3.64,0.22,0.85,3.09,0.10,3.23,1.00,0.28
BioInvent International AB,-3.85,12.24,-0.35,0.25,0.00,0.00,5.38,-1.40
Björn Borg AB,11.85,0.99,2.38,11.20,2.00,7.09,2.52,0.21
BONESUPPORT HOLDING AB,-7.16,13.05,-3.41,5.38,0.00,0.00,4.54,-0.63
Bong AB,-1.11,0.07,-0.71,2.70,0.00,0.00,0.29,-0.26
Boule Diagnostics AB,29.62,2.86,2.11,15.50,0.55,0.88,4.03,0.14
Brinova Fastigheter AB ser. B,11.61,5.44,1.61,18.48,0.00,0.00,1.01,0.09
C-RAD AB ser. B,62.39,6.97,0.69,3.04,0.00,0.00,14.16,0.23
Cantargia AB,-12.52,0.00,-1.38,2.34,0.00,0.00,7.38,-0.59
Christian Berner Tech Trade AB ser. B,11.90,0.83,2.01,6.92,0.75,2.73,3.97,0.29
Concordia Maritime AB ser. B,-2.92,0.51,-3.82,22.24,0.00,0.00,0.50,-0.17
Consilium AB ser. B,-21.80,0.48,-2.67,47.56,0.00,0.00,1.22,-0.06
CTT Systems AB,32.37,6.71,5.56,15.83,4.05,2.25,11.37,0.35
Dedicare AB ser. B,11.35,0.53,4.22,11.31,4.00,8.35,4.24,0.37
DORO AB,9.87,0.47,3.86,28.25,0.00,0.00,1.35,0.14
Duroc AB ser. B,12.72,0.42,3.35,22.63,0.00,0.00,1.22,0.15
Edgeware AB,-57.82,1.65,-0.22,7.92,0.00,0.00,1.61,-0.03
Electra Gruppen AB,14.65,0.14,3.44,38.61,3.25,6.45,1.31,0.09
Elos Medtech AB ser. B,24.10,1.09,2.59,63.03,1.00,1.15,1.38,0.04
Empir Group AB ser. B,-62.68,0.27,-0.28,28.60,0.45,2.56,0.61,-0.01
Endomines AB,-5.20,1.85,-1.10,7.16,0.00,0.00,0.80,-0.15
Eniro AB,-0.20,0.08,-8.63,5.36,0.00,0.00,0.32,-1.61
Eniro AB pref,0.00,0.00,0.00,5.36,0.00,0.00,14.65,0.00
Eolus Vind AB ser. B,7.18,0.99,7.81,32.68,1.50,2.73,1.68,0.24
Episurf Medical AB B,-1.36,16.57,-1.87,1.42,0.00,0.00,1.63,-1.32
Etrion Corporation,-6.73,2.98,-0.23,0.05,0.00,0.00,30.96,-4.60
eWork Group AB,17.23,0.12,4.58,9.03,4.50,5.70,8.74,0.51
Feelgood Svenska AB,12.04,0.44,0.24,1.72,0.12,4.15,1.68,0.14
"FM Mattsson Mora Group AB, ser. B",18.62,1.02,4.63,37.55,3.00,3.48,2.30,0.12
FormPipe Software AB,29.27,2.86,0.75,7.39,0.60,2.73,2.97,0.10
GHP Specialty Care AB,24.36,0.81,0.55,5.62,0.30,2.24,2.38,0.10
Green Landscaping Holding AB,-184.21,0.87,-0.19,5.66,0.00,0.00,6.18,-0.03
Hanza Holding AB,23.51,0.27,0.74,13.25,0.25,1.44,1.31,0.06
Havsfrun Investment AB ser. B,-12.17,0.00,-1.38,16.99,1.50,8.93,0.99,-0.08
ICTA AB,-2.45,0.35,-3.18,8.78,0.00,0.00,0.89,-0.36
Image Systems AB,13.00,0.45,0.13,1.56,0.00,0.00,1.08,0.08
Immunicum AB,-5.01,0.00,-1.59,5.65,0.00,0.00,1.41,-0.28
Karolinska Development AB ser.B,9.69,93.00,0.48,4.59,0.00,0.00,1.01,0.10
Lammhults Design Group AB ser. B,15.35,0.41,2.64,53.98,2.00,4.30,0.86,0.05
Lime Technologies AB,65.98,6.54,1.94,3.01,1.00,0.78,42.52,0.64
Malmbergs Elektriska AB ser. B,13.46,0.86,4.92,36.23,2.50,3.78,1.83,0.14
MedCap AB,2 147.50,1.61,0.04,20.17,0.00,0.00,4.26,0.00
Medivir AB ser. B,-1.21,14.56,-14.62,12.66,0.00,0.00,1.40,-1.15
Micro Systemation AB B,53.40,3.35,1.50,5.74,2.20,4.00,9.58,0.26
Midway Holding AB ser. A,243.75,0.41,0.08,15.95,0.50,2.56,1.22,0.01
Midway Holding AB ser. B,238.12,0.40,0.08,15.95,0.50,2.62,1.19,0.01
Moberg Pharma AB,60.18,2.72,1.12,33.55,0.00,0.00,2.01,0.03
Moment Group AB,-2.31,0.12,-2.54,8.10,0.00,0.00,1.14,-0.31
MQ Holding AB,-0.31,0.09,0.84,22.53,0.00,0.00,0.14,0.04
MultiQ International AB,39.10,0.64,0.02,0.61,0.00,0.00,1.28,0.03
NAXS AB,34.62,0.00,1.45,60.26,2.80,5.58,0.83,0.02
NCAB Group AB,19.92,1.28,6.20,17.59,4.50,3.64,7.02,0.35
NeuroVive Pharmaceutical AB,-0.81,20.90,-1.54,1.77,0.00,0.00,0.71,-0.87
NGS Group AB,7.09,0.32,3.16,24.12,1.00,4.46,0.93,0.13
Nilörngruppen AB ser. B,12.35,1.20,6.20,15.85,4.00,5.22,4.83,0.39
NOTE AB,12.57,0.58,2.22,13.29,0.70,2.51,2.10,0.17
NOVOTEK AB ser. B,14.73,1.23,2.24,9.86,1.25,3.79,3.35,0.23
Nuevolution AB,-5.97,54.55,-2.01,2.34,0.00,0.00,5.13,-0.86
Odd Molly International AB,-0.91,0.14,-7.52,8.98,0.00,0.00,0.76,-0.84
